Policy Name,Category,Description,Implementation File,Implemented,Enforced,Status,Evidence File,Notes,Missing Dependencies
Automated Backup Process,Backup & Disaster Recovery,Regular automated backups of workflow execution data,infra/backup/backup_workflow_runs.sh,Yes,No,BLOCKED,reports\Audit_Backup_DR.md,Missing external dependencies; Tested in simulation mode; Implementation ready for deployment,
Backup Integrity Verification,Backup & Disaster Recovery,SHA-256 verification of backup file integrity,infra/scripts/restore_from_backup.sh,Yes,No,BLOCKED,reports\Audit_Backup_DR.md,Missing external dependencies; Tested in simulation mode; Implementation ready for deployment,
Cosign Signature Enforcement,Security & Secrets,All WPK packages must be signed with cosign,services/workflow-registry/cosign_enforcer.py,Yes,No,BLOCKED,reports\Audit_Cosign_Vault.md,Missing external dependencies; Implementation ready for deployment,"* cosign binary; **Impact:** Cannot verify WPK signatures, security enforcement disabled"
Vault Secret Management,Security & Secrets,Secrets retrieved securely via HashiCorp Vault,services/workflow-registry/vault_client.py,Yes,No,BLOCKED,reports\Audit_Cosign_Vault.md,Missing external dependencies; Implementation ready for deployment,"* cosign binary; **Impact:** Cannot verify WPK signatures, security enforcement disabled"
Static Security Validation,Policy Engine,WPK packages validated for security issues before execution,services/workflow-registry/validator/static_validator.py,Yes,Yes,PASS,reports\Audit_Dryrun.md,Tested in simulation mode,
Policy Engine Risk Assessment,Policy Engine,Risk-based approval workflow for WPK execution,services/workflow-registry/validator/policy_engine.py,Yes,Yes,PASS,reports\Audit_Dryrun.md,Tested in simulation mode,
Immutable Audit Logging,Audit & Compliance,SHA-256 verified audit logs for all operations,infra/audit/s3_audit_logger.py,Yes,No,BLOCKED,reports\Audit_Logs_ETL.md,Missing external dependencies; Implementation ready for deployment,
ETL Data Export,Audit & Compliance,Structured export of workflow data for analysis,services/etl/export_runs/export_to_jsonl.py,Yes,No,BLOCKED,reports\Audit_Logs_ETL.md,Missing external dependencies; Implementation ready for deployment,
Workflow Failure Monitoring,Monitoring & Alerting,Prometheus alerts for workflow execution failures,infra/monitoring/prometheus/alerts-workflow.yaml,Yes,No,BLOCKED,reports\Audit_Observability.md,Missing external dependencies,
Security Event Alerting,Monitoring & Alerting,Critical alerts for unsigned uploads and anomalies,infra/monitoring/prometheus/alerts-workflow.yaml,Yes,No,BLOCKED,reports\Audit_Observability.md,Missing external dependencies,
Row Level Security (RLS),Tenancy & Access Control,Database-level tenant isolation using RLS policies,infra/sql/rls_policies.sql,Yes,No,BLOCKED,reports\Audit_RLS.md,Missing external dependencies; Tested in simulation mode; Implementation ready for deployment,*; POSTGRES_DSN environment variable; psycopg2 Python package; Active PostgreSQL database; Applied RLS policies
Cross-Tenant Access Prevention,Tenancy & Access Control,Prevent unauthorized cross-tenant data access,scripts/test_tenancy.py,Yes,No,BLOCKED,reports\Audit_RLS.md,Missing external dependencies; Tested in simulation mode; Implementation ready for deployment,*; POSTGRES_DSN environment variable; psycopg2 Python package; Active PostgreSQL database; Applied RLS policies
